id,shapeID,shapeGroup,shapeName,intersection_ratio,even_split_ratio,intersection_ratio_commitment_value,even_split_ratio_commitment_value,centroid_longitude,centroid_latitude
33158,37992800B62393256715912,KHM,Kampong Cham,0.0,0.0,98.66,55354.76125,105.27248930685768,12.126383394917431
33158,37992800B42158555562772,KHM,Prey Veng,0.0,0.0,520.28,55354.76125,105.42413097422452,11.395998652685332
33158,37992800B99989691305421,KHM,Kampot,0.0,0.0,90.1,55354.76125,104.30976469850025,10.79553380996349
33158,37992800B77204168518017,KHM,Takeo,0.52,0.52,229065.85,55354.76125,104.81641679047027,10.940266063636825
33158,37992800B46036584412355,KHM,Kampong Speu,0.0,0.0,228.27,55354.76125,104.29259044093132,11.536152424815365
33158,63759600B46141220358660,VNM,An Giang,0.0,0.0,119.81,55354.76125,105.19034833286756,10.526302159129063
33163,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,21919356.83,21919356.83,104.86483422636606,11.561507597941345
33165,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
33667,37992800B83627159640807,KHM,Phnom Penh,0.01,0.01,111535.35,283263.2255813953,104.86483422636606,11.561507597941345
33667,37992800B59838984331544,KHM,Kampong Thom,0.04,0.04,501420.91,283263.2255813953,105.04788430680355,12.824420451757593
33667,37992800B57023840568534,KHM,Kandal,0.03,0.03,328690.1,283263.2255813953,105.0182459497186,11.423555503235097
33667,37992800B66153290508063,KHM,Kampong Chhnang,0.04,0.04,465624.4,283263.2255813953,104.55842050621244,12.168579337675359
33667,37992800B62393256715912,KHM,Kampong Cham,0.02,0.02,220060.92,283263.2255813953,105.27248930685768,12.126383394917431
33667,37992800B82444097829687,KHM,Kratie,0.02,0.02,267972.18,283263.2255813953,106.16912619819603,12.629129188242059
33667,37992800B42158555562772,KHM,Prey Veng,0.01,0.01,108634.08,283263.2255813953,105.42413097422452,11.395998652685332
33667,37992800B90014860566901,KHM,Tbong Khmum,0.01,0.01,100513.58,283263.2255813953,105.89091787465854,11.933887364041516
33667,63759600B46141220358660,VNM,An Giang,0.02,0.02,275114.76,283263.2255813953,105.19034833286756,10.526302159129063
33667,63759600B81354309972615,VNM,Đồng Tháp,0.01,0.01,167834.05,283263.2255813953,105.60981054647918,10.577528272839048
33667,37992800B90729700897308,KHM,Stung Treng,0.01,0.01,176480.64,283263.2255813953,106.17554075342225,13.806034104068933
33667,36821470B4901960309299,THA,Buri Ram Province,0.02,0.02,184450.66,283263.2255813953,102.96405194232152,14.814279671284023
33667,31783359B26227132251916,LAO,Champasak,0.03,0.03,409768.27,283263.2255813953,105.96137168100144,14.775988388252477
33667,43563684B84540832148656,CHN,Yunnan Province,0.19,0.19,2371435.48,283263.2255813953,101.49115406744764,24.96315653082052
33667,43563684B19802372559419,CHN,Tibet Autonomous Region,0.06,0.06,762290.9,283263.2255813953,88.19981989142721,31.709128067698085
33667,31783359B80437097027275,LAO,Xaignabouli,0.02,0.02,213137.88,283263.2255813953,101.34330540038808,18.948871413600628
33667,31783359B18099798035754,LAO,Bokeo,0.03,0.03,330905.48,283263.2255813953,100.63805736965192,20.36039641627775
33667,31783359B52686694059818,LAO,Bolikhamsai,0.02,0.02,302264.65,283263.2255813953,104.26292216116663,18.491315107259418
33667,31783359B32687543126582,LAO,Khammouane,0.01,0.01,159174.41,283263.2255813953,105.26149059435176,17.572041252936316
33667,31783359B96178998933928,LAO,Luang Namtha,0.01,0.01,166607.09,283263.2255813953,101.14401078666671,20.895206160487668
33667,31783359B8337285946490,LAO,Luang Prabang,0.02,0.02,266018.37,283263.2255813953,102.54816349596271,20.130038772615336
33667,31783359B43569910510083,LAO,Oudomxay,0.02,0.02,298856.94,283263.2255813953,101.72403047085534,20.424617437281835
33667,31783359B10266600227606,LAO,Salavan,0.01,0.01,137755.57,283263.2255813953,106.27423976947978,15.850091631619346
33667,31783359B41032705110141,LAO,Savannakhet,0.02,0.02,246590.77,283263.2255813953,105.7073867859171,16.552670113517262
33667,31783359B97264007138888,LAO,Vientiane Capital,0.02,0.02,216802.89,283263.2255813953,102.5721805804363,18.143050822632404
33667,31783359B43191608929261,LAO,Vientiane,0.03,0.03,369828.72,283263.2255813953,102.12907283940463,18.63967363619153
33667,36821470B96343765829948,THA,Roi Et Province,0.0,0.0,41562.68,283263.2255813953,103.82638468948711,15.922529784718801
33667,36821470B33660676013176,THA,Surin Province,0.02,0.02,278241.07,283263.2255813953,103.66240465304905,14.888474125191323
33667,36821470B25997690360286,THA,Nakhon Ratchasima Province,0.05,0.05,619405.88,283263.2255813953,102.11663801833083,14.957398721383298
33667,36821470B45378358106724,THA,Si Sa Ket Province,0.02,0.02,252851.9,283263.2255813953,104.37794858582782,14.854323616970653
33667,36821470B10823236588148,THA,Nong Khai Province,0.01,0.01,135059.06,283263.2255813953,102.83592619511788,17.93525927080967
33667,36821470B29302790580634,THA,Loei Province,0.0,0.0,60225.1,283263.2255813953,101.62936367285656,17.410388716756994
33667,36821470B41943429581493,THA,Chiang Rai Province,0.0,0.0,58092.14,283263.2255813953,99.8736279170201,19.8476198480504
33667,36821470B57809552794573,THA,Bueng Kan Province,0.0,0.0,56129.69,283263.2255813953,103.71334895783794,18.146590143189815
33667,36821470B8778739097958,THA,Ubon Ratchathani Province,0.03,0.03,306287.01,283263.2255813953,105.11440631288876,15.187408875022294
33667,36821470B23119655123949,THA,Mukdahan Province,0.0,0.0,24068.37,283263.2255813953,104.51694228253712,16.563713206073157
33667,36821470B2573550131326,THA,Amnat Charoen Province,0.0,0.0,7659.95,283263.2255813953,104.74310852921381,15.897845555700409
33667,36821470B33387239802611,THA,Nakhon Phanom Province,0.01,0.01,124295.66,283263.2255813953,104.4287181567636,17.385575647360163
