shapeID_adm1,shapeName_adm1,shapeID_adm2,shapeName_adm2,intersection_ratio,shapeGroup
16772668B23006646393275,Aktobe Region,9891525B75364407860375,Khromtauskiy,0.9999523712776476,KAZ
25984515B78139731385057,Konya,54988432B71099254802304,Karapınar,0.9999522410163988,TUR
88200057B2601963641625,Mashonaland Central,62879985B50430993830170,Bindura,0.9999517409095755,ZWE
26024454B37550803023778,Potosí,80513517B7848068682219,Sur Chichas,0.9999515931257097,BOL
26024454B37550803023778,Potosí,80513517B40548411134311,Antonio Quijarro,0.9999512209266661,BOL
19869673B93268339583324,Pelagonia,65306769B638558710054,Prilep,0.999951068248544,MKD
31783359B43191608929261,Vientiane,54806243B70207385851148,Hinherb,0.9999509592465627,LAO
17685810B68217123081047,Kerman,26516999B48215536872692,Baft,0.9999509258001906,IRN
37992800B18682012537966,Pursat,14789045B35445184191564,Phnum Kravanh,0.9999508933196064,KHM
27671186B36221103315467,Benue,59680162B24857715869577,Logo,0.9999506696509319,NGA
20122684B94719189988752,Arequipa,86281439B30825453994343,Caylloma,0.9999505724877941,PER
13205935B9888826763551,Kairouan,11933810B51337682918507,القيروان الجنوبية,0.9999505433005648,TUN
88200057B2601963641625,Mashonaland Central,62879985B76003628227782,Mazowe,0.9999500834353464,ZWE
6923714B17126467226495,Lusaka,96606910B32717004733154,Chongwe,0.9999497246706895,ZMB
6923714B60407914126357,Central,96606910B40769326482894,Kapiri Mposhi,0.9999477524157057,ZMB
26024454B37550803023778,Potosí,80513517B39650565619369,Nor Chichas,0.9999477035725948,BOL
26024454B78289653685394,Oruro,80513517B99158720513986,San Pedro de Totora,0.9999476543352197,BOL
20573499B19694912925518,Bago,60261553B730883612766,Pyay,0.9999472125370422,MMR
33880854B34068475905788,Omusati,8085530B61010853817860,Ondombe,0.9999469113818622,NAM
20122684B26898887395574,Lima,86281439B90649514172231,Huarochiri,0.9999449618072066,PER
13205935B988461082754,Sidi Bouzid,11933810B48053950180724,الرقاب,0.9999441854816775,TUN
76434192B26311534340602,KwaZulu-Natal,47623444B60178842862169,eThekwini,0.999943610691793,ZAF
65028918B43243108525571,East Java,22746128B81373906315979,Pasuruan,0.9999435860922227,IDN
37992800B66153290508063,Kampong Chhnang,14789045B95522882738357,Chol Kiri,0.9999426023491956,KHM
37992800B83627159640807,Phnom Penh,14789045B33698683582262,Chamkar Mon,0.9999425273500263,KHM
20573499B19694912925518,Bago,60261553B52408869304596,Bago,0.9999409130763772,MMR
37992800B90729700897308,Stung Treng,14789045B9277653142269,Thala Barivat,0.9999405541611374,KHM
83157122B74959515955757,Sassandra-Marahoue,98640826B13622385448205,Haut-Sassandra,0.9999401277748297,CIV
602756B18903489245073,Enga Province,67681753B44837730459554,Kandep District,0.9999400083988917,PNG
14911670B85657526756793,Rio de Jeneiro,56859067B69544192053781,Rio de Janeiro,0.9999394770720059,BRA
13205935B988461082754,Sidi Bouzid,11933810B70280449703815,سيدي بوزيد الغربية,0.9999392294064531,TUN
36201628B47630810559445,Central Luzon,2640588B70472166839855,Bulacan,0.9999385367893012,PHL
37992800B60639331187871,Bantey Meanchey,14789045B48513904069909,Paoy Paet,0.9999380241704928,KHM
45462678B94500211462696,Gomel,67162791B87321103764300,Zhlobin,0.9999377581111017,BLR
25984515B55384476443375,Balıkesir,54988432B32280148114029,Altıeylül,0.9999375861099284,TUR
31783359B8337285946490,Luang Prabang,54806243B25944960154772,Xieng Ngeun,0.9999374274710539,LAO
63759600B81181225404594,Cà Mau,81297802B9286931688743,U Minh,0.9999371209937663,VNM
32016919B57902629823981,Garissa,3690345B59068653601742,Dujis,0.9999371058849831,KEN
