id,shapeID,shapeGroup,shapeName,intersection_ratio,even_split_ratio,intersection_ratio_commitment_value,even_split_ratio_commitment_value,centroid_longitude,centroid_latitude
4,91424787B55521153380221,AGO,Luanda,1.0,1.0,15087226.6,15087226.6,13.266257084898896,-8.846160091386674
13,91424787B55521153380221,AGO,Luanda,1.0,1.0,,,13.266257084898896,-8.846160091386674
51,91424787B55521153380221,AGO,Luanda,1.0,1.0,,,13.266257084898896,-8.846160091386674
65,91424787B55521153380221,AGO,Luanda,0.31,0.33,14540371.57,15544767.32,13.266257084898896,-8.846160091386674
65,91424787B14243133178966,AGO,Cacuaco,0.67,0.33,31032226.2,15544767.32,13.474687853492048,-8.81043171351523
65,91424787B45136787959125,AGO,Icolo e Bengo,0.01,0.33,478859.82,15544767.32,13.844283781634998,-9.184921813733238
152,91424787B55521153380221,AGO,Luanda,0.43,0.33,97663779.62,74983647.06,13.266257084898896,-8.846160091386674
152,91424787B66059706224288,AGO,Belas,0.43,0.33,96782593.26,74983647.06,13.249768777969097,-9.08156060601638
152,91424787B14243133178966,AGO,Cacuaco,0.14,0.33,30504568.3,74983647.06,13.474687853492048,-8.81043171351523
844,91424787B55521153380221,AGO,Luanda,0.93,0.5,24958932.19,13398350.57,13.266257084898896,-8.846160091386674
844,91424787B66059706224288,AGO,Belas,0.03,0.5,700151.67,13398350.57,13.249768777969097,-9.08156060601638
31798,91424787B55521153380221,AGO,Luanda,1.0,1.0,,,13.266257084898896,-8.846160091386674
32853,91424787B55521153380221,AGO,Luanda,1.0,1.0,,,13.266257084898896,-8.846160091386674
34179,91424787B55521153380221,AGO,Luanda,1.0,1.0,,,13.266257084898896,-8.846160091386674
34775,91424787B55521153380221,AGO,Luanda,0.03,0.33,1083817.85,11692957.98,13.266257084898896,-8.846160091386674
34775,91424787B66059706224288,AGO,Belas,0.51,0.33,17894142.64,11692957.98,13.249768777969097,-9.08156060601638
34775,91424787B14243133178966,AGO,Cacuaco,0.45,0.33,15754542.26,11692957.98,13.474687853492048,-8.81043171351523
34776,91424787B55521153380221,AGO,Luanda,0.02,0.33,2057184.91,38373225.69,13.266257084898896,-8.846160091386674
34776,91424787B66059706224288,AGO,Belas,0.75,0.33,86326476.65,38373225.69,13.249768777969097,-9.08156060601638
34776,91424787B14243133178966,AGO,Cacuaco,0.22,0.33,25886081.08,38373225.69,13.474687853492048,-8.81043171351523
34789,91424787B55521153380221,AGO,Luanda,0.01,0.2,772436.02,14988035.57,13.266257084898896,-8.846160091386674
34789,91424787B14243133178966,AGO,Cacuaco,0.08,0.2,5712850.68,14988035.57,13.474687853492048,-8.81043171351523
34789,91424787B45136787959125,AGO,Icolo e Bengo,0.57,0.2,42470293.39,14988035.57,13.844283781634998,-9.184921813733238
34789,91424787B55281524391880,AGO,Cambambe,0.21,0.2,15667360.73,14988035.57,14.571912148939877,-9.534868168325282
34789,91424787B69259370367741,AGO,Quissama,0.14,0.2,10285882.35,14988035.57,13.837329635966503,-9.83956701284726
34800,91424787B55521153380221,AGO,Luanda,0.07,0.33,3168256.0,15932456.12,13.266257084898896,-8.846160091386674
34800,91424787B66059706224288,AGO,Belas,0.49,0.33,23468246.44,15932456.12,13.249768777969097,-9.08156060601638
34800,91424787B14243133178966,AGO,Cacuaco,0.43,0.33,20706102.05,15932456.12,13.474687853492048,-8.81043171351523
34802,91424787B55521153380221,AGO,Luanda,0.03,0.33,501696.21,5412637.08,13.266257084898896,-8.846160091386674
34802,91424787B66059706224288,AGO,Belas,0.51,0.33,8283147.87,5412637.08,13.249768777969097,-9.08156060601638
34802,91424787B14243133178966,AGO,Cacuaco,0.45,0.33,7292732.92,5412637.08,13.474687853492048,-8.81043171351523
34827,91424787B55521153380221,AGO,Luanda,0.91,0.5,33692071.58,18544261.4,13.266257084898896,-8.846160091386674
34827,91424787B14243133178966,AGO,Cacuaco,0.09,0.5,3395819.18,18544261.4,13.474687853492048,-8.81043171351523
34847,91424787B55521153380221,AGO,Luanda,0.15,0.33,8837091.68,19217361.19,13.266257084898896,-8.846160091386674
34847,91424787B66059706224288,AGO,Belas,0.21,0.33,11928468.28,19217361.19,13.249768777969097,-9.08156060601638
34847,91424787B14243133178966,AGO,Cacuaco,0.64,0.33,36886523.6,19217361.19,13.474687853492048,-8.81043171351523
34849,91424787B55521153380221,AGO,Luanda,0.03,0.33,2357847.68,29099846.67,13.266257084898896,-8.846160091386674
34849,91424787B66059706224288,AGO,Belas,0.51,0.33,44688035.83,29099846.67,13.249768777969097,-9.08156060601638
34849,91424787B14243133178966,AGO,Cacuaco,0.45,0.33,39387699.32,29099846.67,13.474687853492048,-8.81043171351523
34884,91424787B55521153380221,AGO,Luanda,1.0,1.0,94574428.91,94574428.91,13.266257084898896,-8.846160091386674
34885,91424787B55521153380221,AGO,Luanda,1.0,1.0,80218335.3,80218335.3,13.266257084898896,-8.846160091386674
34934,91424787B55521153380221,AGO,Luanda,1.0,1.0,,,13.266257084898896,-8.846160091386674
