id,shapeID,shapeGroup,shapeName,intersection_ratio,Recipient ISO-3,matching_iso,iso_match_list
58650,49756563B71725710252082,SGP,CENTRAL REGION,1.0,BRA,False,[False]
92532,49756563B71725710252082,SGP,CENTRAL REGION,1.0,BRA,False,[False]
92614,49756563B71725710252082,SGP,CENTRAL REGION,1.0,BRA,False,[False]
38929,90331920B66653841730450,TWN,Kaohsiung,0.66,VNM,False,[False]
39018,36201628B92932511992503,PHL,CAR,1.0,BRN,False,[False]
96100,38789647B60273504742587,KGZ,Jalal-Abad Region,0.34,KAZ,False,"[False, False, False, False]"
96105,38789647B60273504742587,KGZ,Jalal-Abad Region,1.0,KAZ,False,[False]
96106,38789647B60273504742587,KGZ,Jalal-Abad Region,1.0,KAZ,False,[False]
95963,86453995B76936784723703,TJK,Sughd Region,1.0,KGZ,False,[False]
53611,4885205B28124685388107,UZB,Fergana Region,1.0,TJK,False,[False]
97782,14279143B69842940795179,MNG,Ulaanbaatar,1.0,MOZ,False,[False]
55538,25984515B47806653651907,TUR,Ankara,1.0,CAF,False,[False]
73369,25984515B47806653651907,TUR,Ankara,1.0,CAF,False,[False]
41214,19161824B11598546498676,ISR,Southern District,0.0,PSE,False,"[False, False]"
41214,DIS008,118,Gaza Strip,0.96,PSE,False,"[False, False]"
64717,19161824B11598546498676,ISR,Southern District,0.01,PSE,False,"[False, False]"
64717,DIS008,118,Gaza Strip,0.99,PSE,False,"[False, False]"
64877,19161824B11598546498676,ISR,Southern District,0.01,PSE,False,"[False, False]"
64877,DIS008,118,Gaza Strip,0.99,PSE,False,"[False, False]"
64799,DIS008,118,Gaza Strip,0.97,PSE,False,[False]
64879,DIS008,118,Gaza Strip,0.97,PSE,False,[False]
64920,DIS008,118,Gaza Strip,1.0,PSE,False,[False]
52439,DIS019,129,West Bank,1.0,PSE,False,[False]
64881,DIS019,129,West Bank,1.0,PSE,False,[False]
64968,DIS019,129,West Bank,1.0,PSE,False,[False]
65004,DIS019,129,West Bank,1.0,PSE,False,[False]
65006,DIS019,129,West Bank,1.0,PSE,False,[False]
65007,DIS019,129,West Bank,1.0,PSE,False,[False]
65688,DIS019,129,West Bank,1.0,PSE,False,[False]
85258,DIS019,129,West Bank,1.0,PSE,False,[False]
85312,DIS019,129,West Bank,1.0,ISR,False,[False]
91294,DIS019,129,West Bank,1.0,ISR,False,[False]
53718,1811400B75807316846587,IND,Madhya Pradesh,0.02,NPL,False,"[False, False]"
42059,14850775B37539954297462,UKR,Kyiv Oblast,1.0,BLR,False,[False]
65866,13066534B71664328266075,GEO,Samtskhe–Javakheti,1.0,AZE,False,[False]
65867,13066534B71664328266075,GEO,Samtskhe–Javakheti,1.0,AZE,False,[False]
96452,13066534B71664328266075,GEO,Samtskhe–Javakheti,1.0,AZE,False,[False]
96454,13066534B71664328266075,GEO,Samtskhe–Javakheti,1.0,AZE,False,[False]
91252,14850775B15913324833724,UKR,Kharkiv Oblast,1.0,RUS,False,[False]
58554,28894549B40839197272036,COD,South Kivu,1.0,BWA,False,[False]
57355,28894549B30690187473068,COD,Tanganyika,1.0,BDI,False,[False]
47301,48771326B2646389376646,SSD,Lakes,1.0,SDN,False,[False]
49894,82249235B50381585000441,CAN,Manitoba,1.0,IDN,False,[False]
71311,1811400B23625213884851,IND,Delhi,1.0,AFG,False,[False]
73266,18249212B34902747010981,BRB,Saint Michael,0.9,,False,"[False, False]"
88138,92566538B14190085014946,BFA,Centre,1.0,TGO,False,[False]
63319,47310658B1770087263252,JPN,Yamagata,1.0,NIU,False,[False]
64565,34121849B74132742221768,OMN,Muscat,1.0,SYR,False,[False]
65919,97560089B87855108402029,AUT,Steiermark,1.0,TON,False,[False]
66517,17162690B84565288021286,POL,Masovian Voivodeship,1.0,ARM,False,[False]
68455,43563684B87813050901813,CHN,Jiangxi Province,1.0,MMR,False,[False]
68457,49756563B34226909336254,SGP,WEST REGION,1.0,MMR,False,[False]
70737,43563684B58995436924100,CHN,Shandong Province,0.77,TKM,False,[False]
73053,43563684B58995436924100,CHN,Shandong Province,0.77,TKM,False,[False]
85174,14339913B95766344400054,GBR,England,1.0,KAZ,False,[False]
90138,66186276B29106115751815,USA,Texas,1.0,COK,False,[False]
86969,66186276B41335105066757,USA,Louisiana,1.0,ZAF,False,[False]
86971,66186276B41335105066757,USA,Louisiana,1.0,ZAF,False,[False]
88124,10402087B46069870964378,DEU,Schleswig-Holstein,1.0,ETH,False,[False]
92973,19338628B64983593182368,FRA,Bretagne,1.0,GIN,False,[False]
93720,6811986B14952581415898,NLD,Noord-Brabant,1.0,BFA,False,[False]
97206,14339913B6930312138089,GBR,Northern Ireland,1.0,DMA,False,[False]
71596,52472329B96254136738283,KNA,Saint Anne Sandy Point,0.0,SXM,False,"[False, False, False]"
