tuff_id,clean_link,osm_type,osm_id,unique_id
57017,https://www.openstreetmap.org/way/249740590,way,249740590,98
56755,https://www.openstreetmap.org/way/249740590,way,249740590,99
56668,https://www.openstreetmap.org/relation/3694538,relation,3694538,100
72704,https://www.openstreetmap.org/way/785917727,way,785917727,101
60153,https://www.openstreetmap.org/way/557233467,way,557233467,102
64425,https://www.openstreetmap.org/way/217948117,way,217948117,103
64509,https://www.openstreetmap.org/way/217953079,way,217953079,104
64624,https://www.openstreetmap.org/way/94837235,way,94837235,105
64408,https://www.openstreetmap.org/way/350100293,way,350100293,106
64408,https://www.openstreetmap.org/node/6477799536,node,6477799536,107
57221,https://www.openstreetmap.org/node/5648640456,node,5648640456,108
49828,https://www.openstreetmap.org/way/158454846,way,158454846,109
61320,https://www.openstreetmap.org/relation/12150229,relation,12150229,110
61321,https://www.openstreetmap.org/relation/12150229,relation,12150229,111
61396,https://www.openstreetmap.org/relation/9732461,relation,9732461,112
61430,https://www.openstreetmap.org/relation/12430964,relation,12430964,113
66266,https://www.openstreetmap.org/way/154204630,way,154204630,114
66267,https://www.openstreetmap.org/way/657098275,way,657098275,115
66406,https://www.openstreetmap.org/way/821902567,way,821902567,116
67564,https://www.openstreetmap.org/directions?engine=graphhopper_car&route=-5.8689%2C105.7547%3B-4.8712%2C105.2083,directions,,117
73327,https://www.openstreetmap.org/way/237756221,way,237756221,118
61426,https://www.openstreetmap.org/way/587078149,way,587078149,119
61426,https://www.openstreetmap.org/way/804705005,way,804705005,120
61426,https://www.openstreetmap.org/way/769893337,way,769893337,121
69113,https://www.openstreetmap.org/way/548490197,way,548490197,122
69113,https://www.openstreetmap.org/way/300801967,way,300801967,123
69113,https://www.openstreetmap.org/way/689531774,way,689531774,124
69113,https://www.openstreetmap.org/way/689531764,way,689531764,125
69113,https://www.openstreetmap.org/way/300967441,way,300967441,126
69113,https://www.openstreetmap.org/way/689531748,way,689531748,127
66999,https://www.openstreetmap.org/way/410679799,way,410679799,128
67004,https://www.openstreetmap.org/way/400653617,way,400653617,129
