id,shapeID,shapeGroup,shapeName,intersection_ratio,even_split_ratio,intersection_ratio_commitment_value,even_split_ratio_commitment_value,centroid_longitude,centroid_latitude
54994,84410073B88392224216277,URY,Municipality C,0.07,0.5,322784.83,2198651.58,-56.18757394938369,-34.871378170315204
54994,84410073B6453147989031,URY,Municipality B,0.33,0.5,1471928.98,2198651.58,-56.182695043255485,-34.905054214844014
41465,92452058B340100748175,VEN,Simón Bolívar,0.76,0.5,337326545.25,220531145.95,-64.65702725771925,9.982934885566412
41465,92452058B76868797395121,VEN,Fernando de Peñalver,0.21,0.5,94826624.18,220531145.95,-65.08054293856016,9.990145182945133
54912,74100532B98191338083310,ATG,Saint John,0.58,1.0,61778623.39,106617841.0,-61.83508738994166,17.113148291063126
39740,86173395B8049186625596,BHS,North Abaco,0.87,1.0,41734845.0,47868495.62,-77.48617405750501,26.792510362727658
60012,22272344B90104046252093,TTO,Port of Spain,0.96,1.0,5492921.19,5707490.28,-61.51427742970578,10.66132003592469
39896,35162164B62401168973782,JAM,Greenwich Town/ Newport West,0.27,1.0,1095001.33,3995243.2,-76.82105766608296,17.984057174153296
39831,96108325B18979939092740,DMA,Saint John,0.14,0.2,7527511.95,11126000.36,-61.439547273752,15.571123458597372
39831,96108325B98972581904621,DMA,Saint George,0.03,0.2,1649502.11,11126000.36,-61.34429357634934,15.307671723364813
39831,96108325B74916276227315,DMA,Saint Joseph,0.26,0.2,14289532.47,11126000.36,-61.38377575626899,15.446017110218806
39831,96108325B20095781885743,DMA,Saint Paul,0.2,0.2,10890876.72,11126000.36,-61.36494070562758,15.367440679556482
39831,96108325B93131520053722,DMA,Saint Peter,0.27,0.2,15080268.13,11126000.36,-61.44448940679288,15.50535319068182
43110,75667366B91712962926649,CUB,Santiago de Cuba,0.68,1.0,90392436.81,132851427.8,-75.70802463544001,20.011696543154237
69333,75667366B80263662304106,CUB,Regla,0.09,0.5,2972450.21,16766520.18,-82.32844084194869,23.131512804847745
69333,75667366B93303026760321,CUB,La Habana Vieja,0.04,0.5,1274523.3,16766520.18,-82.35631909273638,23.1271910425381
54965,93511190B55681603978518,GRD,Saint Mark,0.95,1.0,5441248.6,5752986.42,-61.69192617535343,12.18568654550069
85813,93511190B55681603978518,GRD,Saint Mark,1.0,1.0,,,-61.69192617535343,12.18568654550069
70720,35162164B28230343509230,JAM,New Kingston,1.0,1.0,259918.59,259918.59,-76.78586741875137,18.00519211496376
70723,35162164B28230343509230,JAM,New Kingston,1.0,1.0,291770.18,291770.18,-76.78586741875137,18.00519211496376
72019,35162164B28230343509230,JAM,New Kingston,1.0,1.0,2785.08,2785.08,-76.78586741875137,18.00519211496376
73745,8360857B75288721097085,ECU,Guayaquil,1.0,1.0,54492487.39,54492487.39,-80.11574979500686,-2.4785458308008423
85606,8360857B75288721097085,ECU,Guayaquil,0.49,1.0,,,-80.11574979500686,-2.4785458308008423
88899,56859067B3534711848449,BRA,Barra dos Coqueiros,0.77,0.25,42083938.82,13623121.85,-36.96882217064812,-10.850419284340395
88899,56859067B9922653305516,BRA,Laranjeiras,0.02,0.25,1034495.4,13623121.85,-37.18724496794924,-10.804708256481124
88899,56859067B36001575817528,BRA,Nossa Senhora do Socorro,0.16,0.25,8972490.17,13623121.85,-37.14450621504209,-10.864548688882987
88899,56859067B4442717767123,BRA,Santo Amaro das Brotas,0.04,0.25,2401563.0,13623121.85,-36.98211637750147,-10.773702635373022
69143,35162164B19382405183666,JAM,Central Down Town,1.0,1.0,44944413.6,44944413.6,-76.79262594661218,17.969608775343474
85355,50627088B77985545046422,MEX,Manzanillo,0.97,1.0,27222593.05,28056889.24,-104.28071780195442,19.14915333059301
89653,79315794B83048937220923,SLV,La Libertad,1.0,1.0,1685346.92,1685346.92,-89.2696817774755,13.497075223584018
