id,shapeID,shapeGroup,shapeName,intersection_ratio,even_split_ratio,intersection_ratio_commitment_value,even_split_ratio_commitment_value,centroid_longitude,centroid_latitude
35079,92858781B84445266980229,MYS,Gombak,1.0,1.0,,,101.65194150076115,3.2826426045575263
90157,92858781B84445266980229,MYS,Gombak,1.0,1.0,46410.16,46410.16,101.65194150076115,3.2826426045575263
90195,92858781B84445266980229,MYS,Gombak,0.46,0.5,,,101.65194150076115,3.2826426045575263
90195,92858781B79427410842699,MYS,Kuala Lumpur,0.54,0.5,,,101.69306026255082,3.1411823476679217
38623,92858781B26165935379781,MYS,Kota Bharu,1.0,1.0,5745.79,5745.79,102.26225690653492,6.0458873774984
43848,92858781B60376413639078,MYS,Petaling,0.1,0.5,,,101.57568760549182,3.094678668932535
43848,92858781B79427410842699,MYS,Kuala Lumpur,0.9,0.5,,,101.69306026255082,3.1411823476679217
43849,92858781B60376413639078,MYS,Petaling,1.0,1.0,,,101.57568760549182,3.094678668932535
90212,92858781B60376413639078,MYS,Petaling,1.0,1.0,,,101.57568760549182,3.094678668932535
65990,92858781B79427410842699,MYS,Kuala Lumpur,1.0,1.0,205471622.6,205471622.6,101.69306026255082,3.1411823476679217
66656,92858781B79427410842699,MYS,Kuala Lumpur,1.0,1.0,854782780.1,854782780.1,101.69306026255082,3.1411823476679217
86967,92858781B79427410842699,MYS,Kuala Lumpur,1.0,1.0,163620.02,163620.02,101.69306026255082,3.1411823476679217
90164,92858781B79427410842699,MYS,Kuala Lumpur,1.0,1.0,318415.31,319096.29,101.69306026255082,3.1411823476679217
90185,92858781B79427410842699,MYS,Kuala Lumpur,0.93,1.0,,,101.69306026255082,3.1411823476679217
90224,92858781B79427410842699,MYS,Kuala Lumpur,1.0,1.0,,,101.69306026255082,3.1411823476679217
90232,92858781B79427410842699,MYS,Kuala Lumpur,1.0,1.0,78178.59,78178.59,101.69306026255082,3.1411823476679217
90233,92858781B79427410842699,MYS,Kuala Lumpur,0.95,0.5,,,101.69306026255082,3.1411823476679217
90233,92858781B54424141725992,MYS,Sepang,0.05,0.5,,,101.6869189543362,2.80600413130318
90272,92858781B79427410842699,MYS,Kuala Lumpur,1.0,1.0,17958.74,17958.74,101.69306026255082,3.1411823476679217
90409,92858781B79427410842699,MYS,Kuala Lumpur,1.0,1.0,10163.22,10163.22,101.69306026255082,3.1411823476679217
90410,92858781B79427410842699,MYS,Kuala Lumpur,1.0,1.0,23453.58,23453.58,101.69306026255082,3.1411823476679217
